word,frequency,example,gdex,llm_score_old,label,note,llm_score_0,llm_score_1,llm_score_3
bandaska,1991,Pryč je původní malinká nádrž a místo ní má tenhle stroj pěknou <bandasku> na 17 litrů.,0.92353,4.925235900655389,a,"Borderline between a-b, the sentence is about the keyword but the word order seems odd and it references a machine we do not see.",24.62106074690819,12.465865105390549,27.659859657287598
bandaska,1991,Ráno jsem se tam tedy vybaven plechovou <bandaskou> po babičce vypravil podívat.,0.91538,5.114021876330177,b,"Lacking context, where and the reason why.",25.61889911244313,14.248946932454905,28.461387157440186
bandaska,1991,Proto je dobré mít vždy v ruce <bandasku> s vodou.,0.90909,5.443054322004318,b,Lacking context.,27.20609154939651,12.465546858310699,30.89122772216797
bandaska,1991,ČTÚ v tom tedy létají jak nudle v <bandasce>.,0.905,6.861405695809259,b,"Unknown abbreviation, lacking context.",40.39507850541009,19.869588083691067,45.526451110839844
bandaska,1991,"To znamená, že je vyrobeno 10 ks <bandasky> na dalších 10 letů?",0.89464,5.665089993178844,b,Lacking context.,28.403942195574444,12.997312982877096,32.25559949874878
bandaska,1991,Už po 10minutách jsem se cítil jak nudle v <bandasce>.,0.86818,5.916104744374752,b,"Borderline a-b. Lacks context, a bit odd comparison.",35.1398526775837,11.686293417215348,41.00324249267578
bandaska,1991,Že se vydržíš dívat na celý film o lezení a nenatečou Ti <bandasky> ?,0.85357,4.491943986075265,b,I do not understand from this sentence what does it mean.,22.490340971946715,12.515925288200378,24.9839448928833
bandaska,1991,"Cílem je, aby si každý opravdu do sytosti zalezl a odjel z Lomnice s <bandaskama>.",0.85294,5.823529687225819,b,I do not understand what the keyword in this sentence means.,34.59785113771757,12.604646466175716,40.09615230560303
bandaska,1991,Dludli to byl překlep - <Bandaska> nebo účel?,0.81111,5.979393920302391,c,Grammatically incorrect.,29.945729750394825,21.222055047750473,32.12664842605591
bandaska,1991,"Jseš si Lenko jistá, že v té <bandasce> je to tvoje?",0.80769,4.650899741324511,b,Lacking context.,27.676537034728312,13.106878746639598,31.31895160675049
bandaska,1991,"Další se však domnívají, že název Krpy vznikl od slova krpy, což bývaly hliněné nádoby zvané <bandasky>.",0.8,6.289069352167494,b,The keyword is not the center of the sentence.,31.583051200824627,13.624455909518634,36.07270002365112
bandaska,1991,"Nabízí se možnosti: bez levé <bandasky> nebo jenom její obrys, ""vykousnutí"" v této bandasce.",0.79474,3.80360968027796,c,Incomplete sentence.,19.42689889158521,16.419028912271774,20.178866386413574
bandaska,1991,"Skvělým pomocníkem je také držák na pití, do kterého lze uložit kojenecké láhve, <bandasky> a různá plastová pitíčka pro vaše dětí.",0.78,4.785007032610121,a,"Borderline with c, since contains grammatically incorrect words, needs correcting.",24.163568636349268,13.777409298079354,26.760108470916748
bandaska,1991,"Trubky nemrznou, ty jsou tady běžně i ve 2m, ale ta prázdná <bandaska> z vrchu vymrzá a s ní i vodoměr.",0.75333,5.968180339676993,b,Lacking context.,30.03885279610044,16.413775012606667,33.44512224197388
bandaska,1991,"Zakoupit musím já sobě klobásku, škvarků si naberu celou <bandasku>.",0.74792,6.593226323127746,b,Odd word order.,33.18529650211334,18.33910686969757,36.896843910217285
bandaska,1991,"Paní Jungová, Češka, vdova po padlém německém vojákovi, si otevřela mlékárnu s mlékem nalévaným do <bandasek>.",0.745,6.978678695112467,a,Contains proper name but it is clear what the keyword means.,35.37788693010807,18.099504306912422,39.69748258590698
bandaska,1991,"Nepřipravuje se v kůži zvířete, ale v hrnci nebo hliníkové <bandasce>, může se vařit i ze skopového masa a patří do něj také více zeleniny.",0.71429,4.135864794969558,b,"Lacks context, too long.",24.551545775413512,11.595474543571472,27.790563583374023
bandaska,1991,"Přesto Proseč podala velice kvalitní výkony proti <Bandaskám> z Brodu, se kterými hrála ve skupině 2:2 a v semifinále 1:1.",0.69385,5.057146025300026,d,Keyword is referring to a proper noun.,29.95553584814072,11.532352244853973,34.5613317489624
bandaska,1991,"To byl tehdy snad jediný plastový obal, který se dal použít jako <bandaska>... Na Hostýně mě zprvu zajímaly hlavně dřevěné barevné boudy nacpané dobrotami.",0.6938,5.244031181514264,b,"Too long, lacks context and the sentences are not connected.",26.352752693891524,12.965526622533798,29.699559211730957
